Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_69.npz
Test data:     data/acic/acic_1-10_test_setting_69.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
2000	Obj: 12.309,	F: 4.105,	Cf: 4.804,	Imb: 0.099,	Val: 3.838,	ValImb: 0.054,	ValObj: 10.71
2100	Obj: 11.381,	F: 3.974,	Cf: 4.765,	Imb: 0.089,	Val: 3.762,	ValImb: 0.049,	ValObj: 10.39
2200	Obj: 11.245,	F: 3.956,	Cf: 4.760,	Imb: 0.08,	Val: 3.691,	ValImb: 0.044,	ValObj: 9.92
2300	Obj: 11.581,	F: 4.001,	Cf: 4.831,	Imb: 0.082,	Val: 3.764,	ValImb: 0.046,	ValObj: 10.38
2400	Obj: 12.517,	F: 4.126,	Cf: 4.775,	Imb: 0.076,	Val: 3.807,	ValImb: 0.042,	ValObj: 10.53
2500	Obj: 11.363,	F: 3.970,	Cf: 4.750,	Imb: 0.074,	Val: 3.732,	ValImb: 0.041,	ValObj: 10.18
2600	Obj: 10.959,	F: 3.913,	Cf: 4.713,	Imb: 0.074,	Val: 3.685,	ValImb: 0.043,	ValObj: 9.92
2700	Obj: 10.954,	F: 3.913,	Cf: 4.488,	Imb: 0.062,	Val: 3.713,	ValImb: 0.037,	ValObj: 10.05
2800	Obj: 10.766,	F: 3.882,	Cf: 4.446,	Imb: 0.055,	Val: 3.591,	ValImb: 0.036,	ValObj: 9.28
2900	Obj: 10.584,	F: 3.844,	Cf: 4.251,	Imb: 0.044,	Val: 3.593,	ValImb: 0.032,	ValObj: 9.32
2999	Obj: 9.783,	F: 3.668,	Cf: 4.395,	Imb: 0.06,	Val: 3.487,	ValImb: 0.043,	ValObj: 8.99
Saving result to results/acic/setting_69/results_20220103_133955-155581/...

Training on experiment 4/10...
0	Obj: 47.959,	F: 7.581,	Cf: 7.559,	Imb: 0.034,	Val: 7.563,	ValImb: 0.035,	ValObj: 48.09
100	Obj: 20.218,	F: 4.950,	Cf: 5.003,	Imb: 0.0098,	Val: 4.899,	ValImb: 0.013,	ValObj: 19.92
200	Obj: 17.329,	F: 4.606,	Cf: 4.791,	Imb: 0.048,	Val: 4.574,	ValImb: 0.053,	ValObj: 17.20
300	Obj: 15.147,	F: 4.306,	Cf: 4.615,	Imb: 0.068,	Val: 4.260,	ValImb: 0.088,	ValObj: 14.95
400	Obj: 14.656,	F: 4.215,	Cf: 4.498,	Imb: 0.085,	Val: 4.225,	ValImb: 0.11,	ValObj: 14.86
500	Obj: 13.065,	F: 3.960,	Cf: 4.121,	Imb: 0.09,	Val: 3.993,	ValImb: 0.11,	ValObj: 13.38
600	Obj: 13.368,	F: 3.987,	Cf: 4.120,	Imb: 0.088,	Val: 4.022,	ValImb: 0.11,	ValObj: 13.67
700	Obj: 11.338,	F: 3.648,	Cf: 3.786,	Imb: 0.11,	Val: 3.754,	ValImb: 0.14,	ValObj: 12.02
800	Obj: 10.653,	F: 3.525,	Cf: 3.615,	Imb: 0.11,	Val: 3.636,	ValImb: 0.13,	ValObj: 11.34
